endTime,artistName,trackName,msPlayed
2020-12-20 10:08,Zedd,Stay,93756
2020-12-20 12:40,Zedd,Stay,116327
2020-12-20 13:02,R3HAB,All Comes Back to You,144622
2020-12-21 07:26,R3HAB,All Comes Back to You,15687
2020-12-21 07:30,Seeb,Unfamiliar,174811
2020-12-21 07:33,Gryffin,Need Your Love (with Noah Kahan),205786
2020-12-21 07:37,NOTD,I Don't Know Why,207667
2020-12-21 07:40,Zedd,Inside Out (feat. Griff),186245
2020-12-21 07:43,Lost Kings,Don't Kill My High,180333
2020-12-21 07:47,Porter Robinson,Shelter,218964
2020-12-21 07:54,Cheat Codes,On My Life,179339
2020-12-21 08:13,Zedd,Beautiful Now,231733
2020-12-21 09:56,Excision,Your Fault,57319
2020-12-21 09:59,Seven Lions,Rush Over Me,159483
2020-12-21 10:02,Seven Lions,Strangers,203957
2020-12-21 10:06,Seven Lions,Foolish Of Me (feat. Jonathan Mendelsohn),186667
2020-12-21 10:09,Above & Beyond,See The End,185696
2020-12-21 10:12,Seven Lions,Island (feat. Nevve),218612
2020-12-21 10:52,Gryffin,Feel Good (feat. Daya),179514
2020-12-21 15:56,Polyphia,O.D.,209213
2020-12-21 15:58,Polyphia,Inferno,18410
2020-12-21 15:58,Polyphia,Nightmare,70990
2020-12-21 16:02,Polyphia,Look But Don't Touch,222796
2020-12-21 20:53,Habstrakt,The One - NGHTMRE Remix,54680
2020-12-21 20:53,Polyphia,G.O.A.T.,69603
2020-12-21 20:54,DJ Snake,Trust Nobody - Habstrakt Remix,5510
2020-12-21 20:54,Habstrakt,The One,18500
2020-12-21 20:54,Habstrakt,The One,9140
2020-12-21 20:54,Habstrakt,The One - NGHTMRE Remix,6680
2020-12-21 20:54,Habstrakt,The One - NGHTMRE Remix,10860
2020-12-21 20:55,Galantis,Tu Tu Tu (That's Why We),8360
2020-12-21 20:55,Habstrakt,The One,11150
2020-12-21 20:55,Habstrakt,The One - NGHTMRE Remix,38480
2020-12-21 20:56,NGHTMRE,CASH COW,39710
2020-12-21 20:57,NGHTMRE,GUD VIBRATIONS,15090
2020-12-21 20:57,NGHTMRE,Man's First Inhibition,25920
2020-12-21 20:59,PnB Rock,TTM (feat. Wiz Khalifa & NGHTMRE),132020
2020-12-21 21:00,SLANDER,Potions,23530
2020-12-21 21:00,NGHTMRE,GUD VIBRATIONS,11050
2020-12-21 21:00,Gryffin,All You Need To Know (feat. Calle Lehmann),7270
2020-12-21 21:02,Galantis,Tu Tu Tu (That's Why We),41370
2020-12-21 21:02,Richard Vission,Walking on Sunshine - Radio Edit,1650
2020-12-21 21:19,NGHTMRE,MTRD,17780
2020-12-21 21:27,SLANDER,Love Again (feat. WAVZ),42320
2020-12-21 21:30,SLANDER,Hurts Sometimes (with Jonathan Mendelsohn),219220
2020-12-21 22:12,Nurko,Clouds,137130
2020-12-22 05:17,SLANDER,Hurts Sometimes (with Jonathan Mendelsohn),110463
2020-12-22 05:22,MitiS,Moments,278400
2020-12-22 05:27,Said The Sky,All I Got,315724
2020-12-22 05:30,Ekali,Runaway (feat. Reo Cragun),188976
2020-12-22 05:33,SLANDER,Potions,172903
2020-12-22 07:24,SLANDER,Love Is Gone - Acoustic,19480
2020-12-22 07:24,SLANDER,Love Is Gone,13670
2020-12-22 07:24,NGHTMRE,FEELING GUD,11630
2020-12-22 07:24,SLANDER,Hurts Sometimes (with Jonathan Mendelsohn),56060
2020-12-22 07:25,SLANDER,Love Is Gone - Acoustic,1970
2020-12-22 07:25,SLANDER,Back To U,57370
2020-12-22 07:26,Excision,Your Fault,53560
2020-12-22 07:27,Kaivon,I Love You.,7920
2020-12-22 07:27,Excision,Breaking Through - Kaivon Remix,38440
2020-12-22 07:28,Kaivon,Kill Him,22960
2020-12-22 11:03,Kaivon,I'm Different,30940
2020-12-22 11:05,Blanke,Flatline - Reprise,167695
2020-12-22 11:09,Zeds Dead,POWA,199007
2020-12-22 11:11,Peking Duk,Lil Bit,158998
2020-12-22 11:15,Jason Ross,Intertwined (feat. RUNN),201000
2020-12-22 11:18,Baauer,TRIBAL HIT,179639
2020-12-22 12:29,Leotrix,Dissatisfied,25320
2020-12-22 12:32,Zedd,Inside Out (feat. Griff),186245
2020-12-22 12:35,Zedd,Stay,210090
2020-12-22 12:39,Gryffin,Feel Good (feat. Daya),248156
2020-12-22 12:43,ILLENIUM,Nightlight,222400
2020-12-22 12:46,NOTD,So Close,190302
2020-12-22 12:49,Afrojack,All Night (feat. Ally Brooke),166413
2020-12-22 12:52,Zedd,The Middle,184732
2020-12-22 12:57,Porter Robinson,Something Comforting,281716
2020-12-22 13:01,Gryffin,All You Need To Know (feat. Calle Lehmann),238458
2020-12-22 13:04,ILLENIUM,Paper Thin,197062
2020-12-22 13:07,NOTD,Wanted,160997
2020-12-22 13:10,Zedd,365,181899
2020-12-22 13:13,Seeb,Unfamiliar,174811
2020-12-22 13:16,Kaskade,Solid Ground,199680
2020-12-22 13:50,Gryffin,Need Your Love (with Noah Kahan),205786
2020-12-22 13:54,ILLENIUM,Crashing (feat. Bahari),230000
2020-12-22 13:58,Zedd,Funny,221465
2020-12-22 13:59,NOTD,I Miss Myself (with HRVY),101186
2020-12-22 14:00,DaBaby,Suge,17060
2020-12-22 14:00,DaBaby,ROCKSTAR (feat. Roddy Ricch),8890
2020-12-22 14:00,DaBaby,BOP,2620
2020-12-22 14:00,DaBaby,BOP,13780
2020-12-22 14:00,Dua Lipa,Levitating (feat. DaBaby),13750
2020-12-22 14:01,DaBaby,PRACTICE,4580
2020-12-22 14:38,DaBaby,VIBEZ,9440
2020-12-22 14:40,Nurko,Faith,41420
2020-12-22 14:40,SLANDER,Hurts Sometimes (with Jonathan Mendelsohn),75900
2020-12-22 14:41,SLANDER,Hurts Sometimes (with Jonathan Mendelsohn),59314
2020-12-22 15:00,SLANDER,Potions,29880
2020-12-22 15:01,SLANDER,Hurts Sometimes (with Jonathan Mendelsohn),73467
2020-12-22 15:07,Said The Sky,All I Got,315724
2020-12-22 15:10,Ekali,Runaway (feat. Reo Cragun),188976
2020-12-22 16:30,MitiS,Moments,278400
2020-12-22 16:34,Nurko,Better Off Lonely,270000
2020-12-22 16:38,Seven Lions,Rush Over Me,259555
2020-12-22 16:42,SVDDEN DEATH,Blood On Me,192000
2020-12-22 16:46,Wooli,Thicc Boi,256000
2020-12-22 16:49,Ekali,Leaving (feat. Yuna),175851
2020-12-22 16:53,Trivecta,You Can Be My Light (feat. Monika Santucci),268800
2020-12-22 23:44,Nurko,If It Isn't You,6602
2020-12-22 23:47,Last Heroes,Love Like Us (feat. RUNN),176126
2020-12-22 23:52,ILLENIUM,Pray (feat. Kameron),295890
2020-12-22 23:55,The FifthGuys,Shock Therapy,182857
2020-12-23 00:00,Nurko,"Blindspot, Pt. 2",268444
2020-12-23 00:04,Trivecta,Wasteland - Wooli Remix,263661
2020-12-23 00:04,Neomade,World Surrender,11010
2020-12-23 05:27,Gaho,Running,209946
2020-12-23 05:31,Gaho,Start Over,202440
2020-12-23 05:34,SHAUN,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,192452
2020-12-23 05:37,BOL4,Love Letter,190173
2020-12-23 05:40,IU,eight(Prod.&Feat. SUGA of BTS),167573
2020-12-23 05:43,10cm,Where Is Dream,183320
2020-12-23 05:46,NIve,Like A Fool,214426
2020-12-23 05:50,Henry,JUST BE ME,185256
2020-12-23 05:54,Jung Seung Hwan,Day & Night,260600
2020-12-23 05:57,SHAUN,My Bad (feat. Julie Bergan) - KSHMR Edit,212352
2020-12-23 06:01,Hoody,Adios,200500
2020-12-23 06:04,CHUNG HA,Bad Boy,182586
2020-12-23 06:07,Eric Nam,Love Die Young,203213
2020-12-23 06:10,Henry,RADIO,191984
2020-12-23 06:14,Gaho,시작,202440
2020-12-23 06:18,Sohyang,Hello,244213
2020-12-23 06:23,AKMU,"How can I love the heartbreak, you`re the one I love",290095
2020-12-23 06:26,CHUNG HA,Dream of You (with R3HAB),192735
2020-12-23 06:30,IU,Blueming,217053
2020-12-23 06:33,Henry,It's You,231642
2020-12-23 06:37,PENTAGON,Daisy,189000
2020-12-23 06:41,Gaho,Only you don't know (Samsung New Retro Series),245960
2020-12-23 06:44,DAY6,Zombie - English Ver.,209259
2020-12-23 06:47,BOL4,Some,181373
2020-12-23 06:51,Kim Feel,One Day,242693
2020-12-23 06:56,Yoon Mirae,Flower,252133
2020-12-23 07:00,suggi,astroboy.,240000
2020-12-23 07:03,Yerin Baek,Here I Am Again,234840
2020-12-23 07:07,Gaho,Running Instrumental,209933
2020-12-23 07:10,GRAY,Just Like The Rain,198000
2020-12-23 07:14,Tiffany Young,Runaway,226926
2020-12-23 07:17,CHANGMO,METEOR,197096
2020-12-23 07:21,HEIZE,Can You See My Heart,225785
2020-12-23 07:25,Suzy,My Dear Love,241933
2020-12-23 07:29,IU,Into the I-LAND,217322
2020-12-23 07:32,KIMSEJEONG,Whale,199360
2020-12-23 07:34,Stella Jang,Colors,101635
2020-12-23 07:37,BAEKHYUN,My Love,193930
2020-12-23 07:41,ZICO,Any song,227226
2020-12-23 07:44,Crush,Let Me Go (with TAEYEON),211346
2020-12-23 07:48,JAMIE,Dream,213880
2020-12-23 07:51,JUNNY,MOVIE,183146
2020-12-23 07:54,GSoul,Hate Everything,205773
2020-12-23 07:58,SHAUN,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,192452
2020-12-23 08:02,TAEYEON,Kiss me,239832
2020-12-23 08:05,Gaho,Start Over,202440
2020-12-23 08:09,NIve,Like A Fool,214426
2020-12-23 08:11,IU,eight(Prod.&Feat. SUGA of BTS),167573
2020-12-23 08:14,10cm,Where Is Dream,183320
2020-12-23 08:18,BOL4,Love Letter,190173
2020-12-23 11:16,Sondia,첫사랑,29292
2020-12-23 11:23,Gaho,Running,380706
2020-12-23 11:26,Gaho,시작,202440
2020-12-23 11:31,AKMU,"How can I love the heartbreak, you`re the one I love",290095
2020-12-23 11:35,Jung Seung Hwan,Day & Night,260600
2020-12-23 11:39,Kim Feel,One Day,242693
2020-12-23 11:43,SHAUN,Way Back Home,214136
2020-12-23 11:46,CHUNG HA,Bad Boy,182586
2020-12-23 11:49,BAEKHYUN,Every second,212213
2020-12-23 11:53,IU,Into the I-LAND,217322
2020-12-23 11:57,Crush,Let Me Go (with TAEYEON),211346
2020-12-23 12:00,Henry,RADIO,191984
2020-12-23 12:04,Tiffany Young,Runaway,226926
2020-12-23 12:07,SHAUN,My Bad (feat. Julie Bergan) - KSHMR Edit,212352
2020-12-23 12:10,CHUNG HA,Dream of You (with R3HAB),192735
2020-12-23 12:14,Suzy,My Dear Love,241933
2020-12-23 12:18,Eric Nam,Love Die Young,203213
2020-12-23 12:21,TAEYEON,All about you,209482
2020-12-23 12:24,BOL4,Some,181373
2020-12-23 12:28,DAY6,Zombie - English Ver.,209259
2020-12-23 12:31,IU,Blueming,217053
2020-12-23 12:35,PENTAGON,Daisy,189000
2020-12-23 12:38,ZICO,Any song,227226
2020-12-23 12:42,Henry,It's You,231642
2020-12-23 12:45,LeeHi,HOLO,178520
2020-12-23 12:50,Yoon Mirae,Flower,252133
2020-12-23 12:53,JAMIE,Dream,213880
2020-12-23 12:57,Gaho,Running,209946
2020-12-23 13:00,SHAUN,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,192452
2020-12-23 13:03,BOL4,Love Letter,190173
2020-12-23 13:06,10cm,Where Is Dream,183320
2020-12-23 13:09,Henry,JUST BE ME,185256
2020-12-23 13:12,IU,eight(Prod.&Feat. SUGA of BTS),167573
2020-12-23 13:16,Kim Feel,One Day,242693
2020-12-23 13:19,Gaho,시작,162551
2020-12-23 13:19,Flux Pavilion,Somebody Else,830
2020-12-23 13:23,Flux Pavilion,Somebody Else,240000
2020-12-23 13:27,Adventure Club,Already Know,230852
2020-12-23 13:31,Zomboy,Born To Survive,238500
2020-12-23 13:34,Flux Pavilion,You & I,162470
2020-12-23 13:37,Datsik,Nasty,217600
2020-12-23 13:42,Excision,Your Fault,314818
2020-12-23 13:47,NERO,The Thrill - Porter Robinson Remix,277692
2020-12-23 13:50,Adventure Club,Next Life,186853
2020-12-23 13:54,Zomboy,Battlefields,222500
2020-12-23 14:00,Flux Pavilion,I Will Stay,392000
2020-12-23 19:50,Porter Robinson,Shelter,197221
2020-12-24 12:42,Porter Robinson,Shelter,21983
2020-12-24 12:47,Excision,Gold (Stupid Love),295890
2020-12-24 12:52,12th Planet,We Don't Play,298400
2020-12-24 12:56,Bear Grillz,Demons (feat. RUNN),225000
2020-12-24 12:59,Flux Pavilion,Survive,201624
2020-12-24 13:03,Zomboy,Lone Wolf,256500
2020-12-24 13:08,Kayzo,Alone - Sullivan King Remix,259200
2020-12-24 19:52,Virtual Riot,In My Head,58481
2020-12-25 05:50,ILLENIUM,Hearts on Fire,254136
2020-12-25 05:53,The Chainsmokers,Don't Let Me Down (feat. Daya) - Illenium Remix,4607
2020-12-25 05:53,Oceans Ahead,Traffic Lights,703
2020-12-25 05:53,Oceans Ahead,Traffic Lights,19122
2020-12-25 05:53,Oceans Ahead,2 Good,618
2020-12-25 05:53,Oceans Ahead,2 Good,163714
2020-12-25 05:56,ILLENIUM,Hearts on Fire,161863
2020-12-25 05:57,ILLENIUM,Paper Thin,24824
2020-12-25 06:11,Flux Pavilion,Somebody Else,240000
2020-12-25 06:15,Flux Pavilion,20:25,231616
2020-12-25 06:20,Excision,Your Fault,314818
2020-12-25 06:24,Adventure Club,Already Know,230852
2020-12-25 06:28,Zomboy,Born To Survive,238500
2020-12-25 06:31,Datsik,Nasty,217600
2020-12-25 06:36,Flux Pavilion,I Believe,258299
2020-12-25 06:39,Champagne Drip,Kaleidoscope (Feat. Crystalline),211875
2020-12-25 06:43,Excision,Oxygen,218750
2020-12-25 06:46,Habstrakt,The One - NGHTMRE Remix,160000
2020-12-25 06:50,Zomboy,Like A Bitch - Extended Mix,264000
2020-12-25 06:54,Flux Pavilion,Surrender,218831
2020-12-25 06:57,Adventure Club,Next Life,186853
2020-12-25 07:02,Porter Robinson,Something Comforting,281716
2020-12-25 07:05,Champagne Drip,Me and You,226285
2020-12-25 09:40,NERO,The Thrill - Porter Robinson Remix,237950
2020-12-25 09:43,Rannar Sillard,Distant Glow,131316
2020-12-25 09:45,Mehdi Teyt & Rehla X,Until Eternity,158083
2020-12-25 09:48,Bernd Mehler,einschlafen,188000
2020-12-25 09:52,Lama House,The Second Moon,209177
2020-12-25 09:55,Bon Vie,Broken Promises,196541
2020-12-25 09:59,Phillipp Vogler,Schwebend,218500
2020-12-25 10:02,Swimming In A Liquid Sky,Slow Rise,225000
2020-12-25 10:05,Pim Miles,In Bloom,149371
2020-12-26 02:20,BamBam,พี่ไม่หล่อลวง - เพลงประกอบภาพยนตร์ อ้าย..คนหล่อลวง,9404
2020-12-26 02:20,Ariana Grande,34+35,4133
2020-12-26 02:20,BLACKPINK,Lovesick Girls,2113
2020-12-26 02:24,Safeplanet,ถ้าเธอได้รู้ (The Secret ∆),224875
2020-12-26 02:27,ROOFTOP,คนเราจะแอบรักใครสักคนได้นานแค่ไหน,201500
2020-12-26 02:31,BOWKYLION,คงคา,257500
